Kokoro,ココロ
Mizugiwa no Hekishoku,水際の碧色
,SYMPHONIC DIVE
,蔚蓝色星海
,张家屯儿的故事
Suupaa Nuko Waarudo,すーぱーぬこわーるど
,RED STAR
Kokuhaku,告白
,青春可乐
,冷光
Kotoba Naki Kotoba,コトバナキコトバ
,Day By Day
,海风以南
,Dream
,Manager Dilemma
,共谋江山
,最远的最近
Shiritakunai,しりたくない
Shisutaa=sekutoruuju,シスター＝セクトルージュ
,SUPER DAYS
LaLaLabu,'LaLaL危
,雨
,Suffocate
,Mind Controlling Mushroom
,失踪伴侣
,Synthetic Girl
,Stuck
,炼金少女日志
,Steppër
,百花杀
,Le rouge est amour
,秘境茶会
Terumii,てるみい
Byoumei wa Ai datta,病名は愛だった
Shuutingu Sutaa,シューティングスター
,无端绪
,涟漪
,So What
,冬已去，春未来
,More Than You Were
,COLORFUL FUTURE
,GET OUT BOY
,立春
Hoshizuku,星屑
,ARIA
Kokoro Mirai,こころみらい
,Quietus
,抄袭thief
,Glow in the Dark
,Can't Make A Song!!
,"""Time Bomb!"""
,Bye-bye School!
Sharuru,シャルル
,フィクサー
,10p.m.
,I'M NOT YOU
,"""On Top"""
Kono Tokubetsu na Neiro ga Subarashii,このとくべつな音色が素晴らしい 
Chigau!!!,ちがう!!!
,99°C溺亡
Dansu Robotto Dansu,ダンスロボットダンス
,Hey!Stop callin
Sonzai Imajineeshon,存在イマジネーション
,醉枕清风
Himitsu no Hako,秘密ノ箱
Itsumademo,いつまでも
,春分
,囚笼
,Decode
,空想世界的某一天
,"Ang Bituin, Makina at si Monika"
,infractum
,Summer Dream
,不羡明月知
Sukippu Randoseru,スキップランドセル
,caged girl
,FATE
,Journey
,逆浪千秋
,Games
Fushichou,不死鳥
,Fly away
,任性
, 
,ADVENTURE
,Drifting Away
,春来发几枝
,爬山虎与青苔
,Colours Fading
Tako Ruka★Maguro Fiibaa,たこルカ★マグロフィーバー
,My Colorful Confuse
Shikakui Chikyuu wo Maruku suru,四角い地球を丸くする
Shabadiiba,しゃばでぃーば
,EGOLOID
Hanamaru Sekai,はなまるセカイ
Kureepu! Sanpun Kukkingu♪,くれーぷ！３ぷんくっきんぐ♪
,Rolling Sky
,无垠奇迹
,新年的问候
Ayana Kurepasu,彩愛クレパス
,KILLER B
,"""Decade"""
,scatter
,大荒寻梦录
,DTMer
Monokuro ni Saku Beni,モノクロに咲く紅
,雨水
Pein Ireisaa,ペインイレイサー
"Watashi, Aidoru Sengen",私、アイドル宣言
Kire Kyari On,キレキャリオン
Yume yo Mirai e,夢よ未来へ
,ビーストインザビューティ
,罪乐园
,envelope
,Remembrance
Sangatsu Iro,三月色
,Kill My Pain
Motivation ga Shinderu,"""モチベーションが死んでる"""
Umi o Oyogu Tsuki,海を泳ぐ月
Datsugoku,脱獄
Sunoo Torikku,スノートリック
Panpukinzu Naitomea,パンプキンズナイトメア
,我从地狱归来
YurikagoxInfection,揺籠×Infection
,头痛欲裂
Gooruden Jipangu,ゴールデンジパング
Uchuu no ☆ Fantashii,うちゅーの☆ふぁんたじー
,Strings with You
,Doppelganger
,TODAY THE FUTURE
,Like Whatever
,저격수 인형
Aishiteru,愛してる
,啸天引
Chiisana Seiya no Tegami,小さな聖夜の手紙
,Christmas Spirit
Kieru Hikari,消える光
Haru no Mahou,春の魔法
Tenshi da to Omotte ita no ni,天使だと思っていたのに
,饕餮
Soshite Shoudou wa Gekijou ni Kawaru.,そして衝動は激情に変わる。
Tsuki ni Ippo,月の一歩
,Tides
,This Again
,Delusion Girl
Dokuhaku,ドクハク
Taiyoukei Desuko,太陽系デスコ
Nansensu Bungaku,ナンセンス文学 
,荆棘鸟
Kanshou Rein,感傷レイン
,Mind Aberration
,轻闲
Kareshi=Makura,カレシ＝マクラ
,老爷爷DISCO
,Pneumonoultramicroscopicsilicovolcanoconiosis
,Kulay
Prinsesu Kaugaaru Shoo,プリンセス・カウガール・ショー
,Badgirlism
Zettai Zetsumei,绝体绝命
Bokura no Dimenshon,ぼくらのディメンション
Sore de Ii,それでいい
Famiresu Ikou yo,ファミレスいこうよ
Suupaamaaketto☆Fiibaa,スーパーマーケット☆フィーバー
Kimi wa Daijoubu,きみはだいじょうぶ
∞Mawaru∞,∞まわる∞
\Oopun Waarudo!!!/,＼オープンワールド!!!／
,狂徒
Usotsuki wa Koi no Hajimari,嘘つきは恋のはじまり
,大鱼吃小鱼
Rabu Sejitariasu,ラブ・サジタリアス
,SPL
,MINE
,Who We Are
,春忆
,Circuit DISCO
Seikuu Shingou,晴空信号
,Can't Stand You
,幻舞玲珑
,心加心
,Unite As One
,我可能放了假寒假
Waarudowaido Fesutibaru,ワールドワイドフェスティバル
,Vacío Lleno
,横浜バトルライン
,Distant Roads
,清明时节雨纷纷
Uragiri Mojuuru,ウラギリモジュール
Aioraito ni,アイオライトに
Sandee Minami Paaku,サンデーミナミパーク
Fuyuiro no Aria,冬色のアリア
,within the ice
Jama,邪魔
Baka,馬鹿
Majikku Awaa,"""マジックアワー"""
,流光物语
,SNOBBISM
,METEOR
,masquearade
Boku no Machi,僕の街
,速食主义
Roriipoppu to Yobanaide,ロリーポップと呼ばないで
Houkai Bunmei to Yukiusagi,ロリーポップと呼ばないで
,Supernova
,Supernova
Uchuu Shoujo no UFO,宇宙少女のＵＦＯ
Uorukanikku Rei Rizumu,ヴォルカニックレイリズム
,森林恋曲
Oovaakurokku,オーヴァークロック
Yasashii Hito ni Naritai,優しい人になりたい
,a starry night
Karafuru Pasuteru,"カラフル・パステル"""
Ningen Datta,人間だった
,Perverse Love Rock!
,Red
,新碧海潮生曲
,I Want You
,ハンドメイド・アニバーサリー
,Birthday
,迷失未来
,Heartless Diary
Mata Ashita,またあした
Roki,ロキ
,十二号诛杀者
Sukai Rabu Fantajia,スカイラブファンタジア
Koko ni Aru Koto,ここにあること
Kaerimichi,かえりみち
Negaigoto,ねがいごと
,If the Stars Align
Amekigoe Zankyou,雨き声残響
Iyahon to Semishigure,イヤホンと蝉時雨
,never ender
,社会之敌
,CITRUS
,Tell Me
,Tell Me
Mikansei Taimu Rimittaa,未完成タイムリミッター
Zantou Hanabi,残灯花火
Mawaru Sora Usagi,回る空うさぎ
Kaisei,快晴
,シンクロナイザー
Shissou Waado,失想ワアド
,Kill My Language
Izanami Toubatsu Senki,イザナミ討伐戦記
Guraave,グラーヴェ
,Two Sided
,That That's That
,World's Eighth Wonder
,All or None
,Through the times
Urageshi Haato,ウラガエシハート
,奇迹
,风云迭变
,A distancia
Daikirai na Hazu Datta.,大嫌いなはずだった。
Furamingo,フラミンゴ
,ユトリ最強世代
Haru Koi Ranman ~I just want~,春恋爛漫  ～I just want～
,一梦千寻
,Bulalo
Doramatsurugii,ドラマツルギー
,Kawakaan
,空白世界
,KILL MY NAME
,他年自有棠花妒
,メーベル
Nijiiro no Haru,にじいろのはる
Arukoobu,アルコーブ
Ame to Petora,雨とペトラ
,
,Spectacle
Hayabusa,はやぶさ
,Some Other Time
,武娘
Nonfantashii,ノンファンタジー
Hanairo ☆ Shai Gaaru,ハナイロ☆シャイガール
,玻璃做的少女
Haroo Disutopia,ハローディストピア
,Beast
,每当有流星划过夜空
Tsuru,弦
,magic city
,ACCEPTANCE
,龙语者
,demiurge
Moji no Hana,文字の華
,飞鸟
Teo,テオ
,Bitter Majesty
Dikadizumu,ディカディズム
Nonde Panacea,ノンデ・パナシーア
Shuumei to araba,主命とあらば
Tsurumaru Senseshon,鶴丸センセーション
,反派死于话多
Koi no Sainou,恋の才能
Kamisama kara no Ankeeto,神様からのアンケート
,笨鸟先飞
,The Reluctant Heroes
,ジャガーノート
,Invisible Lovers
,月见酒
Wakusei Ruupu,惑星ループ
Andoromeda Andoromeda,アンドロメダアンドロメダ
Roketto Saidaa,ロケットサイダー
Hau Tu Waapu,ハウトゥワープ
Hikou Shoujo,飛行少女
Paafekuto Seimei,パーフェクト生命
Suisei Hanemuun,彗星ハネムーン
Sutorato Sutera,ストラトステラ
Myoujou Gyarakutika,明星ギャラクティカ
Ribaasu Yunibaasu,リバースユニバース
"Bai Bai, Nosutarujiika",ばいばい、ノスタルジーカ
Sutego no Stella,捨て子のステラ
,レディーレ
Yuuzome,夕染
,Reunion
Kabin ni Fureta,花瓶に触れた
Asa o Nomu,朝を呑む
,加特林
Aikyuu Okuu,愛及屋烏
Koizora Yohou,恋空予報
Juuzoku Furittaa,従属ふりったー
,Lap Tap Love
Suki Suki Zecchou Shou,スキスキ絶頂症
Ai ni Kijutsushi,愛に奇術師
Soredemo Boku wa Utawanakucha,それでも僕は歌わなくちゃ
ANIMAru,ANIMAる
Seishun Shoukougun,青春症候群
Dokuro no Hana,髑髏の華
Tokyo Roman Joshi Ouka Ranmachi Roku Kyuu Nana Banchi no Koi,東京浪漫女子謳歌蘭街六九七番地ノ恋
Inochi Bakkari,命ばっかり
,最美印记
,九月不停雨
,Splitting Apart
,sister
Ano Ko Shiikuretto,あの娘シークレット
Oki ni Mesu mama,お気に召すまま
,黑凤梨
,"""I Have to Leave You Here"""
Raimu Raito,ライムライト
,アウトサイダー
Zaregoto no Zatsuon,戯言の雑音
Tokarev to Shoujo,トカレフと少女
Aijou Kyougen,"""愛情狂現"""
,梦谪仙
,Not alone
,浅滩
,TIME
,The Everlasting Future
,大佬大佬我想当漫画家！
Roman Shugi,浪漫主義
,眼泪
,All My Life
Ore wa Usotsuki Dakara,'Cause I'm a Liar
,Avarice
,Left Behind
,Through The Night
Kanzen Chouaku Roryita Konpurekkusu,完全懲悪ロリィタコンプレックス
,ステイルメイト
,Rail world
Kagefumi Etoranze,影踏みエトランゼ
,多情岸
,谁杀死了知更鸟？
,Cry
,グリーンライツ・セレナーデ
,COIN
Rettou Joutou,劣等上等
,ベジタリアン 
,"""/hidden"""
,"""1LDK"""
,"""Beside & Besides"""
,Chondroitin
,Electrical Zombies
,Svartalfheim
,CARLA
,IROHA
,风嫁
Zetsumetsu Shigan Gisoushu,絶滅志願偽装種
,フラジール
,我好想问你
,ターミナル
,Moonlight Synapse
,流水赋
,プロトディスコ
,Afraid of daylight
,Scarlet Rose
,少女的爱是心照不宣
,brilliant
,"""My Farewell"""
Hyouriittai,表裏一体
,红昭愿
,Nebulaholic
,PLATONIC GIRL
,State of Isolation
,且听枫吟
,トーキョーゲットー
,ノスタルジックドリームガール
,cloud
,Temperature
,世末积雨云
Sekai no Mannaka wo Aruku,世界の真ん中を歩く
,ユニバース
,エンドロール
Ashita wa Shinu Koto ni Shita,あしたは死ぬことにした
,Ref-Rain
,ALETHEA
Odoryanse,おどりゃんせ
,ベロニカ
,非人哉
Mahoroba Shounen Hanashi,まほろば少年譚
,少年与秋
,トーデス・トリープ
,スーサイドパレヱド
Nadeshiko Iro Haato,撫子色ハート
Kesera Rizumu,ケセラリズム
Bakemono Gurui,ばけものぐるい
Dareka no Shinzou ni Nareta Nara,だれかの心臓になれたなら
,Lience
,？
Sakusou,錯蒼
,DE-Pression
Shuumatsu ja nai,終末じゃない
Disaido!,ディサイド！
Owaru Mae no Shunkan,終わる前の瞬間
,LOVEDOLL OF NOBODY
,Funk beat≠Junk beat
Haipaa Goa Musasabi Sutikku Disapiari Jiiniasu,ハイパーゴアムササビスティックディサピアリジーニャス
Eru Tango Egoisuta,エル・タンゴ・エゴイスタ
Hajimari no Iro Ritānā,ハジマリノイロリターナー
Suimu Toraberu,スイムトラベル
Tamashii Nagashi,魂流し
,ANSWER
,暖色音调
,alf
,Innocent flower
,崇高症状
,9Bang15便士
,你好，世界！
,不正常恋爱物语
,ALIVE
Dandan Hayaku Naru,だんだん早くなる
,人偶之梦
,为邪·九九八十一
,MIKU'S BOUNCE
Shoujo Rei,少女レイ
,メリーバッドエンド
Machigai Sagashi,マチガイサガシ
,八月雨后，初晴与彩虹
Doukei ~DOUKEI~,憧憬～DOUKEI～
,ドリームレス・ドリームス
,Myth in Math
,Diamond Days
,Reload
,一花依世界
,BLAZING STINGER
Bousou Lolita Holic,暴走ロリィタホリック
,STOP
,parallelines
,take a step back
,遗忘的记忆碎片中
Music Like Magic!,魔法みたいなミュージック！
,Love Logic
"Totsuzen Desu ga, Idol Hajimemashita",突然ですが、アイドル始めました
Akusei Lolita Machiavelism,悪性ロリィタマキャヴェリズム
Aisowarai,アイソワライ
,ドリームキラー
Benomu,ベノム
,要有光
Kokoro Nansensu,ココロナンセンス
Arukari Rettousei,アルカリレットウセイ
Iya Gaaru,イヤガール
Remingu Mingu,レミングミング
,マイナスレッテル
Barabara Kokoro,バラバラココロ
Nanji wa Jinrou Nari ya?,汝は人狼なりや？
Yoake no Ubugoe,よあけのうぶごえ
,春风来
,Don't Touch Me
,迷路小鹿
,Bloom
,Capacity
,Just a Robot
,
,翠色梦
,泪之诗
,"Because I Got High'''"" "
,九天九夜
,清明
,ハイスペックニート
Obake no Ukenerai,おばけのウケねらい
Onsen Zabun,温泉ざぶん
,山河令
Kimi no Kanojo,君の彼女
Obake no Ukenerai,おばけのウケねらい
,'cause I love you
,谷雨
,Euphoria 
,Euphoria Filter
,STORY TELLER
,九尾妖狐
Kuronikuru,クロニクル
,Sweet Cat Dreaming
,Carbon
,"Hello, Again"
Muteki POP,むてきPOP
,solitude
,SPIRAL GAME
Akaneiro no Yokogao (2018 LiveVer.),茜色の横顔 (2018 LiveVer.)
Haikyo no Kuni no Arisu,廃墟の国のアリス
Hitotsu Me no Dokuhaku,ヒトツメの独白
,Calorie
,The Faulty Feline Philosophy
Kinsei Gensoukyoku ~Fantasy of Iolite~,菫青幻想曲～Fantasy of Iolite～
URUSaaAai,URUSaaA愛
,血小板之歌
,黑蝴蝶之死
,小满
,赏花诗
,芒种
,TIELLI
,Lala
Jikoaisei Kawaizumu,自己愛性カワイズム
,DIARRHEA
,金丝雀的逃亡之旅
,静默少女
White☆Christmas,ホワイト☆クリスマス
Aku no Inga wa Owaranai,悪の因果は終わらない
,夏至
,Errorist
,电音妖怪
,Loose Change
Hetarenaide yo!,ヘタレないでよ！
Adishonaru Memorii,アディショナルメモリー
,Funeral day
,Destroys Nightmare
,PROMISED WORLD
Merii☆Sekkusumasu,めりー☆せっくすます
,小暑
,Heroes
,The death of...
,CRYSTAL MICROPHONE UNDERGROUND
Shota Shota ni Shite Ageru,"ショタショタにしてあげる♪"""
,异样的风暴中心
Mujouken Koufuku,"""無条件幸福"""
,GRAVITY
,晚安，好梦
Ebaaguriin,エバーグリーン
Shinpuru,シンプル
Tasukete! Ritarin!,( ﾟ∀ﾟ)o彡゜助けて！ リタリン！
,-E-
Juugosai no Megai,15歳の女神
,6.25
,Rabbit
,Mr.wonderboy
,chocolate box
,Bitter Sweet's Beast
,farewell blue
,Only for you
Shikisai Kuriaransu,色彩クリアランス
Emerarudo Shitii,エメラルドシティ
,Last Smile
,Everwhite
Aozora o Mitsuketa Hi,青空を見つけた日
Suburiminaru,サブリミナル
,Lovely Night！
Buririansu,ブリリアンス
,End of Rain
Iro no Nai Machi,"色の無い街'''"" "
Happii Raifu Kaanibaru,ハッピーライフカーニバル
Bookaroido Tachi ga Tada Sakebu Dake,ボーカロイドたちがただ叫ぶだけ
vent -kaze no kioku-,vent-風の記憶-
Shinonome Sukuranburu,東雲スクランブル
,le grand bleu
,青柠少女
VOCALOID-tachi ga Tada 2 Chords Kurikaesu Dake,ボーカロイドたちがただ2コードくりかえすだけ
Bookaroido tachi ga 2 Koodo Kurikaeshite tettey-terettey toka Sakebu Dake,ボーカロイドたちが2コードくり返してﾃｯﾃｰﾃﾚｯﾃｰとか叫ぶだけ
,OhSOS!!!
,大暑
Ningyohime,人魚姫
Hoshi Furu Yoru Sekai no Naka de,星降る夜 世界の中で
,バニカ・コンチェルト！！
Akari ga Yatte Kita zot',アカリがやってきたぞっ
,ソング オブ サードピリオド
,Love Affaier 
Himitsu no Owari ni Shukufuku o,秘密ノ終ワリニ祝福ヲ
Anchi Dejitarizumu,アンチ・デジタリズム
,心上华海
,Hot Milk
,Kill My World
Houkago,放課後
Onii Yuukai ,御兄誘拐
Ari no Kansatsu,アリの観察
Maousama no Uta,まおうさまのうた
,No title
Yami Purogramaa,闇プログラマー
,Distorted Princess
Awase Kagami no Shisha,合わせ鏡の使者
Kotonoha Suticchi,言の葉ステッチ
,ベイビー・ネイビー・ブルー
Zange Mairi,懺悔参り
Aun no Biitsu,阿吽のビーツ
Harehare Ya,ハレハレヤ
Saigo no Jyoou,最後の女王
,filozofio
Miku Miku Miku Miku Mi,ミクミクミクミクミ
Duu Mai Besuto!,どぅーまいべすと！
Kantaabire × Passhioone,カンタービレ×パッシオーネ
Kegare no Uta,ケガレの唄
,ワンダーガールとラビリンスゲート
Ai Kotoba Ⅲ,愛言葉Ⅲ
,
,kung fu
,Leaving
Mirai Eigou,未来永劫
Ikkitousen,一騎当千
,Love Me If You Can
Shimensoka,四面楚歌
,D
,Black Out
"Yuiitsu, Ai no Uta",唯一、愛ノ詠
,PaⅢ.SENSATION
Kakumeisei: Ousama Densenbyou,革命性：オウサマ伝染病
,簪花人间
Mugen no Hana,夢幻ノ華
Shinsou no furoirain,深窓のフロイライン
,傲娇系男孩的告白日
,グリーンライツ・セレナーデ
,Ardor
,connect
Roketto ☆ Doraibu,ロケット☆ドライブ
Supaaku Gaaru Shindoroomu,スパークガールシンドローム
Saien,再演
,Angry
,What's Your Aesthetic?
,WEEABOO
Kinsei no Dansu,金星のダンス
,四大名妓
,カメリア
Usubeni,薄紅
,
,竹鼠煮熟术
,reason of birth
,威诺希
,Machine Gun
Zankyou,残響
,为我For Real
,Insomnia
Kujira Raidaa,くじらライダー
,中文房间
,Save
,BOOM BOOM ☆ In My Heart
Teikoku Shoujo,帝国少女
,ロンリーダンス
,戴帽子的孩子
Osanai Boku wa,ヲサナイボクハ
,长夜无光
Hana,華
,Elfina
Mousou Jenereetaa,妄想ジェネレーター
Rasen Meikyuu ~Spiral Labyrinth~,螺旋迷宮～Spiral labyrinth～
,栖凰
,Misanthrope
Yume Fanfaare,夢ファンファーレ
,乡情曲
,大小姐的复仇生涯
Kokuyouseki,Obsidian
,A Swim In The Jellyfish Lake
Kimiiro ni Somaru,君色に染まる
Akatsuki no Hana,アカツキノハナ
Dakara Itta Desho?,だから言ったでしょ？
,Spooktacular Seance
,Dandelion
,TYFW
,JOYRIDE
,Lv99
,〇
,后调
,双向倾诉
Kono Hana Saku Ya,コノハナサクヤ
Utahime no Uta,歌姫の詩
,WAA!!!!
,心的葬礼
,半盏
,绮云泽
Morea,モレア
Retro Mania Kyousoukyoku,レトロマニア狂想曲
Saishigure,彩時雨
Anbibarentsu,アンビバレンツ
,Booo!
Arata na Tsuzuki,あらたなつづき
,7th room
Kasa no Shita ni Ame ga Furu,傘の下に雨が降る
,f*ck it
,Call of Justice
,欲
,桃花雪
,人间
,如戏
,angel cry
,シャリューゲ
,White Lights
Usotsuiteru no,嘘ついてるの
,Let Me Take You
,Shinjuku Boys
,ZERO
,BLOOD
,七夜雪
Itai Atashi Ashita Aitai,いたいあたしあしたあいたい
,天黑之后
Donna Kotoba Nara Todokimasu ka?,どんな言葉なら届きますか？
,Anthony
,自作自受
,Animalistic
,アヤカシ
Jigusoo Pazuru,ジグソーパズル
Sekai no Chuushin de Nakayubi wo Tateta Bakamono,世界の中心で中指を立てた馬鹿者
,Forever Tears
,爱Know
,将全世界的幸福
,心上秋
,See
Kimi no Kaze ni Naru,キミノカゼニナル
,Twinkie Defense
,晚月
Taisetsu na Koto,たいせつなこと
,起浪
Pojitibu Harasumento!!!,ポジティヴ・ハラスメント！！！
Waifai Bousou Booi,わいふぁい暴想ボーイ
Hontou no Jibun,本当の自分
,アスター
,丰收岁
,テスラは夢の中
Garando,ガランド
,我存在
,ヴィンテージ・モディファイ
,塔之礼赞
Mirai (Itsuka),未来(いつか)
Aregura,アレグラ
Waamii Anaakii,ワーミー・アナーキー
Tuuru,トゥール
Dou Demo Ii ,どうでもいい
,Take You for a Ride
,归龙铭
Waitoauto Oobaarain,ワイトアウト・オーバーライン
Jikiru & Hyde,ジキル＆Hyde
,Neural Story Singing Christmas
Kase Kusari,枷鎖
,逐光者
Mirai e Tomo ni,未来へともに
,无色
,殉道者
Odore! VR Dansu!,おどれ！VRダンス！
,タイトル
,メルト
Kieyuku Anata e,消えゆくあなたへ
,Something Changed
Kaitou,かいとう
Rasuto Dansu,ラストダンス
,after the end
Reinii Deizu,レイニーデイズ
Herushii Endo,ヘルシーエンド
,奥德修斯的归途
,Show 'Em
,如意算盘
Yugiri no Tabiji,湯霧ノ旅路
,千里邀月
Mizuiro no Hi,水色の日
,冒失少女的日常
Zenmai Shoujo Tokei,撥条少女時計
,2717
Suiito Merii Kurisumasu,スウィートメリークリスマス
,Dear VaNI (2018 LiveVer.)
Daunaa Suteppaa,ダウナーステッパー
Rakki☆Oobu,ラッキー☆オーブ
,龙子九阵图
,POBBLES
,怪诞故事集
,Pessimism
Kureijii Biito,クレイジー・ビート
Baiorensu Torigaa,バイオレンストリガー
,无重力少女
,My Dear
,My Dear
Hatsune Miku no Mousou Kyoushitsu,初音ミクの妄想教室
Chanbara Jonii,チャンバラジョニー
Koi no Jumon wa Sorasora,恋の呪文はソラソラ
,ピーピープープー
,バンシー・ストライクス
Bitaa suwiito,ビタースウィート
,金徽章
,雨满武陵春
Tsumiki no Ningyou,積み木の人形
Hana Ichi Monme,はないちもんめ
,请忘记
Hikari,光
,
Buriki no Tsubame,錻のツバメ
,De la mer profonde
,春意红包
Maruku Naru,まるくなる
,初见
,속마음 카니발리즘
Eikou SPECTRUM,影光SPECTRUM
Meebiusu,メービウス
Hitohira no,ひとひらの
,jelf the elf
,Little Traveler
,站在伞下的人
Kanata Made Niji o Kakete,彼方まで虹を架けて
Watashi Rashiku o Hokorashiku,ワタシラシクヲホコラシク
Setsubou,切望
,hurt
,撒马尔罕之恋
,长恨
Bokura wa Minna Imi Fumei,ぼくらはみんな意味不明
,"Gloomy, Empty"
,分裂症－a∈A－
,Sleepyhead
,V.
Risuto Kattaa,リストカッター
,不可逆
,4.A.M. Nocturne
,鸽子
,Those Who Carried On
,This Wonderful Day
,Six Nights
,
Shirayuki,白ゆき
,咱俩谁管谁叫爹
,洛阳怀
,一个人的路
,Boom Boom Boom
,石头说
Subete ga Owatte shimau Mae ni,すべてが終わってしまう前に
Ikite Yuku Tame ni,生きてゆくために
,够真才出涩
,Femme Fatale
Miraise / Mirai yo,未来世
5/29 -Boku No Oto-,5/29 -ボクノオト-
Bokura_no_16bit_endZ_trigger,ぼくらの16bitエンズ・トリガー
,临安
Paranoiya,パラノイヤ
Naizou Arimasu ka,内臓ありますか
,长高长高再高一点
Monuke no Karada,もぬけのからだ
Beautiful na Fiction,ビューティフルなフィクション
Rikei Joshi wa Warawanai,理系女子は笑わない
""") or find(title, ""^Pinyin: "") or find(title, ""^Romanization: "") then",
Ai,アイ
,越过海岸线
,Pick Me Up
,Meave
Otome Kaibou,乙女解剖
,Think Hope
Renkyori En'ai,恋距離遠愛
,Lovrel
Kuro Ageha,クロアゲハ
CANDY Doroppu,CANDYドロップ
Shinitai-chan,シニタイちゃん
Hitoribocchi no Hitorigoto,ひとりぼっちのひとりごと
,千古题
,THE BUTTERMINT SONG
,Sune Days
,彼岸
Kaerosutiumu,カエロスティウム
,天生尤物
,i eat eyes
Shihatsu to Kafka,始発とカフカ
,朝花问
Gaaruzu Intaahai,ガールズインターハイ
,青春回忆录
,祖龙吟
Ikareta Chouchou -Midnight Butterfly-,イカれた蝶々 -Midnight Butterfly-
,The Story about Bear Detective
Endaa Enbaamingu,エンダーエンバーミング
,Hear me！
,The Nue's Terror
,
,
,Black Hole
,Gifted
,他们
Utakata Kingyo -lust for partiality-,泡沫金魚 -lust for partiality-
Meruti Rando Naitomea,メルティランドナイトメア
,冠世一战
,桃仙姑
,繁华唱遍
,冰点
Yakousei Haizu,夜行性ハイズ
Kanojo wa Yoru ni Toketa,彼女は夜に溶けた
,Snow Marriage
Chokoreito Onnanoko,チョコレイト・オンナノコ
,Delusional
,复仇者联盟3：无限战争
Mugen ni Homete Kureru Haruno Sora Sensei,無限にホメてくれる桜乃そら先生
Meteoraito・Sateraito,メテオライト・サテライト
,2018
,咫尺天涯
,CORROSION
,FREEDOM10
Kibou no Tsuki,幾望の月
Buta ni natte yeah yeah,豚になってyeah yeah
,Crimson
,Shirk
,π
Ene no Dennou Kikou,エネの電脳紀行
,Happy!! Snow World!!
,"My Feelings (Just Whistle)'''"" "
Toumei Ansaa,透明アンサー
,6
,北京第三区交通委提醒您
Jibun Rule,自分ルール
,勾指起誓
Sutaa Naito Sunou,スターナイトスノウ
,儒风诉骨
Furiidamu Roriita,フリィダム ロリィタ
,静候曙光
,白眼狼
,Exhausted
,易水诀
,Never Die
,风尘陌
Chakka er,着火er
,和光同尘
,为谁而为
,Over Ocean Waters
,Endure
,黎明前夜
,Colour by Neon
,奉陪
,夜间出租车
,丧Day
Sekando Kisu,セカンド・キス
Zesshou no Kavarieere,絶唱のカヴァリエーレ
,夕阳长歌
Sanbyakurokujuugonichi Tsuzuritsuzuketa Koibumi no You ni,365日綴り続けた恋文のように
Odoru Kyouryuu-san,365日綴り続けた恋文のように
Puritinkuru Shisutaa,ぷりてぃんくるしすたぁ
,ever
,アユミ☆マジカルショータイム
,哎呀 元旦
,HOPE
,return?
Juugosai no Shuchou,15歳の主張
,虚空之女
,City of submission
Shururearisumu,シュルレアリスム
Gomi Dame no Tori,ゴミ溜めの烏
,不归
,大氿歌
,写给社交恐惧症的一首歌
Kawaran ne,かわらんね
,So Serious
,Submerged
,永驻
,Utopia
,Way To A Woman's Heart
,末世残响
Shinitagari,死にたがり
Anchi Riarizumu,アンチリアリズム
,茕茕
,Die Boyfriend
,一样
,Reverie
,A Calm Monologue in the Center of a Hopeful Change
,VICTIM
,无常
,Forget-Me-Not
,心里有鬼
,Slap
Oeoeo,おえおえお
,自导自演
,望江湖
,依然和你在一起
,亲爱的
,不停歇的旅途
,Antidisestablishmentarianism
Kimi e Tsuzuku Kiseki,君へ続く軌跡
,Heartbroken
,又见梁祝
,Procrastinated and it's Due Next Morning
,白露
Burasu Noizu Furamenko,ブラスノイズフラメンコ
Sukuramburu Kousai,スクランブル交際
,得过且过的勇者
,誓鸟
,High Functioning Depression
Oyasumi no Naka Oyasumi,おやすみの中おやすみ
,My Baby
,返祖效应-OOTEM-
,Through the Night
,阶上囚
,GET TO KNOW ME'
,Kaleidoscope Haze Chapter: War
,灞柳风月
Natsu ni Ochiru Sandee,夏に落ちるサンデー
,Believe
Kimi no Iru Tokoro e,君のいる所へ
Hanabi,花火
,种族假象
,人间失宠
,love in last sight
,alumin(i)um
Mairi sato,参り里
,Alice in N.Y.
,The Queen's Final Coda
,V. Ritual Girl
,Sleepless Nights
,The Executioner
,如见青山
Haipaa Riariti Shou,ハイパーリアリティショウ
,euleria
,绣花拳
,亲爱的安徒生
,Colors
Suupaa Nuko ni Narenkatta,すーぱーぬこになれんかった
,下个夏天
,六日之失
,玻璃水母
,титул
,Judul
,Pamagat
,Titel
,หัวข้อ
,Título
,Tajuk
,Titolo
,Titulus
,Titolo
,Otsikko
,Tytuł
,Titel
,Titlu
,Teitl
,Τίτλος
,好累啊
,写给我家狗的歌
,不可能存在的女神
,我在
"Kyuuso, Neko o Kamu",窮鼠、猫ヲ噛ム
,Snow Crystal
,Радость
,Работа
,Долги
,Спорт
,Девочки
,Я люблю
,Место под солнцем
,I Refuse
,四序
,三千烛华夜
,鳴花
,春从天上来
,恶魔Fictionist
,One of a Kind
,威海
,Tender
,"如果梦想会长大'''"""
Burakuraku,ブラクラク
,恋爱喜剧
,好嗨哟
Shinigami Rekoodo,シニガミレコード
Zeusu,ゼウス
Sooshio,ソーシオ
,冬天的螳螂碎片
Biidoro,ビイドロ
