Kokoro,ココロ,こころ
Jasutin⇒Jaibu⇒Jasutifai,ジャスティン⇒ジャイブ⇒ジャスティファイ,じゃすてぃんじゃいぶじゃすてぃふぁい
Hai no Shi,灰ノ詩,はいのし
Shingu=Raika majiku,シング=ライカマジク,しんぐらいかまじく
Mizugiwa no Hekishoku,水際の碧色,みずぎわのへきしょく
Suupaa Nuko Waarudo,すーぱーぬこわーるど,すーぱーぬこわーるど
Kokuhaku,告白,こくはく
Kotoba Naki Kotoba,コトバナキコトバ,ことばなきことば
Shiritakunai,しりたくない,しりたくない
Shisutaa=sekutoruuju,シスター=セクトルージュ,しすたーせくとるーじゅ
Terumii,てるみい,てるみい
Shuutingu Sutaa,シューティングスター,しゅーてぃんぐすたー
Kokoro Mirai,こころみらい,こころみらい
Sharuru,シャルル,しゃるる
Chigau!!!,ちがう!!!,ちがう
Dansu Robotto Dansu,ダンスロボットダンス,だんすろぼっとだんす
Himitsu no Hako,秘密ノ箱,ひみつのはこ
Itsumademo,いつまでも,いつまでも
Sukippu Randoseru,スキップランドセル,すきっぷらんどせる
Fushichou,不死鳥,ふしちょう
Tako Ruka★Maguro Fiibaa,たこルカ★マグロフィーバー,たこるかまぐろふぃーばー
Shikakui Chikyuu wo Maruku suru,四角い地球を丸くする,しかくいちきゅうをまるくする
Shabadiiba,しゃばでぃーば,しゃばでぃーば
Hanamaru Sekai,はなまるセカイ,はなまるせかい
Kureepu! Sanpun Kukkingu♪,くれーぷ!3ぷんくっきんぐ♪,くれーぷぷんくっきんぐ
Monokuro ni Saku Beni,モノクロに咲く紅,ものくろにさくべに
Pein Ireisaa,ペインイレイサー,ぺいんいれいさー
"Watashi, Aidoru Sengen",私、アイドル宣言,わたしあいどるせんげん
Kire Kyari On,キレキャリオン,きれきゃりおん
Datsugoku,脱獄,だつごく
Sunoo Torikku,スノートリック,すのーとりっく
Panpukinzu Naitomea,パンプキンズナイトメア,ぱんぷきんずないとめあ
Gooruden Jipangu,ゴールデンジパング,ごーるでんじぱんぐ
Uchuu no ☆ Fantashii,うちゅーの☆ふぁんたじー,うちゅーのふぁんたじー
Aishiteru,愛してる,あいしてる
Chiisana Seiya no Tegami,小さな聖夜の手紙,ちいさなせいやのてがみ
Kieru Hikari,消える光,きえるひかり
Haru no Mahou,春の魔法,はるのまほう
Tenshi da to Omotte ita no ni,天使だと思っていたのに,てんしだとおもっていたのに
Dokuhaku,ドクハク,どくはく
Taiyoukei Desuko,太陽系デスコ,たいようけいですこ
Nansensu Bungaku,ナンセンス文学 ,なんせんすぶんがく
Kanshou Rein,感傷レイン,かんしょうれいん
Kareshi=Makura,カレシ=マクラ,かれしまくら
Prinsesu Kaugaaru Shoo,プリンセス・カウガール・ショー,ぷりんせすかうがーるしょー
Bokura no Dimenshon,ぼくらのディメンション,ぼくらのでぃめんしょん
Sore de Ii,それでいい,それでいい
Famiresu Ikou yo,ファミレスいこうよ,ふぁみれすいこうよ
Suupaamaaketto☆Fiibaa,スーパーマーケット☆フィーバー,すーぱーまーけっとふぃーばー
Kimi wa Daijoubu,きみはだいじょうぶ,きみはだいじょうぶ
∞Mawaru∞,∞まわる∞,まわる
\Oopun Waarudo!!!/,\オープンワールド!!!/,おーぷんわーるど
Usotsuki wa Koi no Hajimari,嘘つきは恋のはじまり,うそつきはこいのはじまり
Rabu Sejitariasu,ラブ・サジタリアス,らぶさじたりあす
Waarudowaido Fesutibaru,ワールドワイドフェスティバル,わーるどわいどふぇすてぃばる
Uragiri Mojuuru,ウラギリモジュール,うらぎりもじゅーる
Aioraito ni,アイオライトに,あいおらいとに
Sandee Minami Paaku,サンデーミナミパーク,さんでーみなみぱーく
Jama,邪魔,じゃま
Baka,馬鹿,ばか
Majikku Awaa,"""マジックアワー""",まじっくあわー
Boku no Machi,僕の街,ぼくのまち
Uorukanikku Rei Rizumu,ヴォルカニックレイリズム,ゔぉるかにっくれいりずむ
Oovaakurokku,オーヴァークロック,おーゔぁーくろっく
Yasashii Hito ni Naritai,優しい人になりたい,やさしいひとになりたい
Karafuru Pasuteru,"カラフル・パステル""",からふるぱすてる
Ningen Datta,人間だった,にんげんだった
Mata Ashita,またあした,またあした
Roki,ロキ,ろき
Sukai Rabu Fantajia,スカイラブファンタジア,すかいらぶふぁんたじあ
Koko ni Aru Koto,ここにあること,ここにあること
Kaerimichi,かえりみち,かえりみち
Negaigoto,ねがいごと,ねがいごと
Iyahon to Semishigure,イヤホンと蝉時雨,いやほんとせみしぐれ
Zantou Hanabi,残灯花火,ざんとうはなび
Mawaru Sora Usagi,回る空うさぎ,まわるそらうさぎ
Kaisei,快晴,かいせい
Izanami Toubatsu Senki,イザナミ討伐戦記,いざなみとうばつせんき
Guraave,グラーヴェ,ぐらーゔぇ
Urageshi Haato,ウラガエシハート,うらがえしはーと
Daikirai na Hazu Datta.,大嫌いなはずだった。,だいきらいなはずだった
Furamingo,フラミンゴ,ふらみんご
Doramatsurugii,ドラマツルギー,どらまつるぎー
Nijiiro no Haru,にじいろのはる,にじいろのはる
Arukoobu,アルコーブ,あるこーぶ
Ame to Petora,雨とペトラ,あめとぺとら
Hayabusa,はやぶさ,はやぶさ
Nonfantashii,ノンファンタジー,のんふぁんたじー
Hanairo ☆ Shai Gaaru,ハナイロ☆シャイガール,はないろしゃいがーる
Haroo Disutopia,ハローディストピア,はろーでぃすとぴあ
Tsuru,弦,つる
Moji no Hana,文字の華,もじのはな
Teo,テオ,てお
Dikadizumu,ディカディズム,でぃかでぃずむ
Nonde Panacea,ノンデ・パナシーア,のんでぱなしーあ
Shuumei to araba,主命とあらば,しゅうめいとあらば
Koi no Sainou,恋の才能,こいのさいのう
Andoromeda Andoromeda,アンドロメダアンドロメダ,あんどろめだあんどろめだ
Roketto Saidaa,ロケットサイダー,ろけっとさいだー
Hau Tu Waapu,ハウトゥワープ,はうとぅわーぷ
Hikou Shoujo,飛行少女,ひこうしょうじょ
Sutorato Sutera,ストラトステラ,すとらとすてら
Myoujou Gyarakutika,明星ギャラクティカ,みょうじょうぎゃらくてぃか
Ribaasu Yunibaasu,リバースユニバース,りばーすゆにばーす
"Bai Bai, Nosutarujiika",ばいばい、ノスタルジーカ,ばいばいのすたるじーか
Kabin ni Fureta,花瓶に触れた,かびんにふれた
Aikyuu Okuu,愛及屋烏,あいきゅうおくう
Koizora Yohou,恋空予報,こいぞらよほう
Suki Suki Zecchou Shou,スキスキ絶頂症,すきすきぜっちょうしょう
Ai ni Kijutsushi,愛に奇術師,あいにきじゅつし
Seishun Shoukougun,青春症候群,せいしゅんしょうこうぐん
Inochi Bakkari,命ばっかり,いのちばっかり
Oki ni Mesu mama,お気に召すまま,おきにめすまま
Raimu Raito,ライムライト,らいむらいと
Aijou Kyougen,"""愛情狂現""",あいじょうきょうげん
Roman Shugi,浪漫主義,ろまんしゅぎ
Kagefumi Etoranze,影踏みエトランゼ,かげふみえとらんぜ
Rettou Joutou,劣等上等,れっとうじょうとう
Zetsumetsu Shigan Gisoushu,絶滅志願偽装種,ぜつめつしがんぎそうしゅ
Hyouriittai,表裏一体,ひょうりいったい
Odoryanse,おどりゃんせ,おどりゃんせ
Kesera Rizumu,ケセラリズム,けせらりずむ
Bakemono Gurui,ばけものぐるい,ばけものぐるい
Dareka no Shinzou ni Nareta Nara,だれかの心臓になれたなら,だれかのしんぞうになれたなら
Shuumatsu ja nai,終末じゃない,しゅうまつじゃない
Disaido!,ディサイド!,でぃさいど
Owaru Mae no Shunkan,終わる前の瞬間,おわるまえのしゅんかん
Haipaa Goa Musasabi Sutikku Disapiari Jiiniasu,ハイパーゴアムササビスティックディサピアリジーニャス,はいぱーごあむささびすてぃっくでぃさぴありじーにゃす
Eru Tango Egoisuta,エル・タンゴ・エゴイスタ,えるたんごえごいすた
Hajimari no Iro Ritānā,ハジマリノイロリターナー,はじまりのいろりたーなー
Suimu Toraberu,スイムトラベル,すいむとらべる
Tamashii Nagashi,魂流し,たましいながし
Dandan Hayaku Naru,だんだん早くなる,だんだんはやくなる
Shoujo Rei,少女レイ,しょうじょれい
Machigai Sagashi,マチガイサガシ,まちがいさがし
Aisowarai,アイソワライ,あいそわらい
Benomu,ベノム,べのむ
Kokoro Nansensu,ココロナンセンス,こころなんせんす
Arukari Rettousei,アルカリレットウセイ,あるかりれっとうせい
Iya Gaaru,イヤガール,いやがーる
Remingu Mingu,レミングミング,れみんぐみんぐ
Barabara Kokoro,バラバラココロ,ばらばらこころ
Yoake no Ubugoe,よあけのうぶごえ,よあけのうぶごえ
Obake no Ukenerai,おばけのウケねらい,おばけのうけねらい
Onsen Zabun,温泉ざぶん,おんせんざぶん
Kimi no Kanojo,君の彼女,きみのかのじょ
Obake no Ukenerai,おばけのウケねらい,おばけのうけねらい
Kuronikuru,クロニクル,くろにくる
Haikyo no Kuni no Arisu,廃墟の国のアリス,はいきょのくにのありす
Hitotsu Me no Dokuhaku,ヒトツメの独白,ひとつめのどくはく
Jikoaisei Kawaizumu,自己愛性カワイズム,じこあいせいかわいずむ
White☆Christmas,ホワイト☆クリスマス,ほわいとくりすます
Hetarenaide yo!,ヘタレないでよ!,へたれないでよ
Adishonaru Memorii,アディショナルメモリー,あでぃしょなるめもりー
Merii☆Sekkusumasu,めりー☆せっくすます,めりーせっくすます
Shota Shota ni Shite Ageru,"ショタショタにしてあげる♪""",しょたしょたにしてあげる
Mujouken Koufuku,"""無条件幸福""",むじょうけんこうふく
Ebaaguriin,エバーグリーン,えばーぐりーん
Shinpuru,シンプル,しんぷる
Shikisai Kuriaransu,色彩クリアランス,しきさいくりあらんす
Emerarudo Shitii,エメラルドシティ,えめらるどしてぃ
Suburiminaru,サブリミナル,さぶりみなる
Buririansu,ブリリアンス,ぶりりあんす
Iro no Nai Machi,"色の無い街'''"" ",いろのないまち
Happii Raifu Kaanibaru,ハッピーライフカーニバル,はっぴーらいふかーにばる
Shinonome Sukuranburu,東雲スクランブル,しののめすくらんぶる
VOCALOID-tachi ga Tada 2 Chords Kurikaesu Dake,ボーカロイドたちがただ2コードくりかえすだけ,ぼーかろいどたちがただこーどくりかえすだけ
Ningyohime,人魚姫,にんぎょひめ
Hoshi Furu Yoru Sekai no Naka de,星降る夜 世界の中で,ほしふるよるせかいのなかで
Akari ga Yatte Kita zot',アカリがやってきたぞっ,あかりがやってきたぞっ
Himitsu no Owari ni Shukufuku o,秘密ノ終ワリニ祝福ヲ,ひみつのおわりわりにしゅくふくを
Anchi Dejitarizumu,アンチ・デジタリズム,あんちでじたりずむ
Houkago,放課後,ほうかご
Ari no Kansatsu,アリの観察,ありのかんさつ
Maousama no Uta,まおうさまのうた,まおうさまのうた
Kotonoha Suticchi,言の葉ステッチ,ことのはすてっち
Zange Mairi,懺悔参り,ざんげまいり
Harehare Ya,ハレハレヤ,はれはれや
Miku Miku Miku Miku Mi,ミクミクミクミクミ,みくみくみくみくみ
Duu Mai Besuto!,どぅーまいべすと!,どぅーまいべすと
Kantaabire × Passhioone,カンタービレ×パッシオーネ,かんたーびれぱっしおーね
Kegare no Uta,ケガレの唄,けがれのうた
Mirai Eigou,未来永劫,みらいえいごう
Ikkitousen,一騎当千,いっきとうせん
Shimensoka,四面楚歌,しめんそか
Kakumeisei: Ousama Densenbyou,革命性:オウサマ伝染病,かくめいせいおうさまでんせんびょう
Mugen no Hana,夢幻ノ華,むげんのはな
Shinsou no furoirain,深窓のフロイライン,しんそうのふろいらいん
Roketto ☆ Doraibu,ロケット☆ドライブ,ろけっとどらいぶ
Supaaku Gaaru Shindoroomu,スパークガールシンドローム,すぱーくがーるしんどろーむ
Saien,再演,さいえん
Zankyou,残響,ざんきょう
Kujira Raidaa,くじらライダー,くじららいだー
Teikoku Shoujo,帝国少女,ていこくしょうじょ
Osanai Boku wa,ヲサナイボクハ,をさないぼくは
Hana,華,はな
Kimiiro ni Somaru,君色に染まる,きみいろにそまる
Akatsuki no Hana,アカツキノハナ,あかつきのはな
Dakara Itta Desho?,だから言ったでしょ?,だからいったでしょ
Kono Hana Saku Ya,コノハナサクヤ,このはなさくや
Morea,モレア,もれあ
Anbibarentsu,アンビバレンツ,あんびばれんつ
Arata na Tsuzuki,あらたなつづき,あらたなつづき
Kasa no Shita ni Ame ga Furu,傘の下に雨が降る,かさのしたにあめがふる
Usotsuiteru no,嘘ついてるの,うそついてるの
Itai Atashi Ashita Aitai,いたいあたしあしたあいたい,いたいあたしあしたあいたい
Jigusoo Pazuru,ジグソーパズル,じぐそーぱずる
Sekai no Chuushin de Nakayubi wo Tateta Bakamono,世界の中心で中指を立てた馬鹿者,せかいのちゅうしんでなかゆびをたてたばかもの
Kimi no Kaze ni Naru,キミノカゼニナル,きみのかぜになる
Taisetsu na Koto,たいせつなこと,たいせつなこと
Pojitibu Harasumento!!!,ポジティヴ・ハラスメント!!!,ぽじてぃゔはらすめんと
Hontou no Jibun,本当の自分,ほんとうのじぶん
Garando,ガランド,がらんど
Mirai (Itsuka),未来(いつか),みらいいつか
Aregura,アレグラ,あれぐら
Waamii Anaakii,ワーミー・アナーキー,わーみーあなーきー
Tuuru,トゥール,とぅーる
Dou Demo Ii ,どうでもいい,どうでもいい
Waitoauto Oobaarain,ワイトアウト・オーバーライン,わいとあうとおーばーらいん
Kase Kusari,枷鎖,かせくさり
Kaitou,かいとう,かいとう
Rasuto Dansu,ラストダンス,らすとだんす
Reinii Deizu,レイニーデイズ,れいにーでいず
Herushii Endo,ヘルシーエンド,へるしーえんど
Mizuiro no Hi,水色の日,みずいろのひ
Suiito Merii Kurisumasu,スウィートメリークリスマス,すうぃーとめりーくりすます
Daunaa Suteppaa,ダウナーステッパー,だうなーすてっぱー
Rakki☆Oobu,ラッキー☆オーブ,らっきーおーぶ
Kureijii Biito,クレイジー・ビート,くれいじーびーと
Baiorensu Torigaa,バイオレンストリガー,ばいおれんすとりがー
Hatsune Miku no Mousou Kyoushitsu,初音ミクの妄想教室,はつねみくのもうそうきょうしつ
Chanbara Jonii,チャンバラジョニー,ちゃんばらじょにー
Bitaa suwiito,ビタースウィート,びたーすうぃーと
Tsumiki no Ningyou,積み木の人形,つみきのにんぎょう
Hana Ichi Monme,はないちもんめ,はないちもんめ
Hikari,光,ひかり
Maruku Naru,まるくなる,まるくなる
Meebiusu,メービウス,めーびうす
Hitohira no,ひとひらの,ひとひらの
Watashi Rashiku o Hokorashiku,ワタシラシクヲホコラシク,わたしらしくをほこらしく
Setsubou,切望,せつぼう
Risuto Kattaa,リストカッター,りすとかったー
Subete ga Owatte shimau Mae ni,すべてが終わってしまう前に,すべてがおわってしまうまえに
Ikite Yuku Tame ni,生きてゆくために,いきてゆくために
Miraise / Mirai yo,未来世,みらいせ
5/29 -Boku No Oto-,5/29 -ボクノオト-,ぼくのおと
Paranoiya,パラノイヤ,ぱらのいや
Naizou Arimasu ka,内臓ありますか,ないぞうありますか
Monuke no Karada,もぬけのからだ,もぬけのからだ
Beautiful na Fiction,ビューティフルなフィクション,びゅーてぃふるなふぃくしょん
""") or find(title, ""^Pinyin: "") or find(title, ""^Romanization: "") then",,
Ai,アイ,あい
Otome Kaibou,乙女解剖,おとめかいぼう
Kuro Ageha,クロアゲハ,くろあげは
Shinitai-chan,シニタイちゃん,しにたいちゃん
Hitoribocchi no Hitorigoto,ひとりぼっちのひとりごと,ひとりぼっちのひとりごと
Kaerosutiumu,カエロスティウム,かえろすてぃうむ
Gaaruzu Intaahai,ガールズインターハイ,がーるずいんたーはい
Endaa Enbaamingu,エンダーエンバーミング,えんだーえんばーみんぐ
Meruti Rando Naitomea,メルティランドナイトメア,めるてぃらんどないとめあ
Yakousei Haizu,夜行性ハイズ,やこうせいはいず
Chokoreito Onnanoko,チョコレイト・オンナノコ,ちょこれいとおんなのこ
Meteoraito・Sateraito,メテオライト・サテライト,めておらいとさてらいと
Sutaa Naito Sunou,スターナイトスノウ,すたーないとすのう
Furiidamu Roriita,フリィダム ロリィタ,ふりぃだむろりぃた
Sekando Kisu,セカンド・キス,せかんどきす
Puritinkuru Shisutaa,ぷりてぃんくるしすたぁ,ぷりてぃんくるしすたぁ
Juugosai no Shuchou,15歳の主張,じゅうごさいのしゅちょう
Shururearisumu,シュルレアリスム,しゅるれありすむ
Kawaran ne,かわらんね,かわらんね
Shinitagari,死にたがり,しにたがり
Anchi Riarizumu,アンチリアリズム,あんちりありずむ
Oeoeo,おえおえお,おえおえお
Burasu Noizu Furamenko,ブラスノイズフラメンコ,ぶらすのいずふらめんこ
Oyasumi no Naka Oyasumi,おやすみの中おやすみ,おやすみのなかおやすみ
Hanabi,花火,はなび
Mairi sato,参り里,まいりさと
Haipaa Riariti Shou,ハイパーリアリティショウ,はいぱーりありてぃしょう
Suupaa Nuko ni Narenkatta,すーぱーぬこになれんかった,すーぱーぬこになれんかった
Burakuraku,ブラクラク,ぶらくらく
Shinigami Rekoodo,シニガミレコード,しにがみれこーど
Zeusu,ゼウス,ぜうす
Sooshio,ソーシオ,そーしお
Biidoro,ビイドロ,びいどろ
Fantomu Pein,ファントムペイン,ふぁんとむぺいん
Rasuto Messeeji,ラストメッセージ,らすとめっせーじ
Unmei Ketteiron,運命決定論,うんめいけっていろん
Kuusou Ryuuseigun,空想流星群,くうそうりゅうせいぐん
Rain Aato,ラインアート,らいんあーと
Katasutorofu,カタストロフ,かたすとろふ
Ayashii Gyousha ja Arimasen,"""あやしい業者じゃありません""",あやしいぎょうしゃじゃありません
Buresu Yua Buresu,ブレス・ユア・ブレス,ぶれすゆあぶれす
Andoroido Gaaru,アンドロイドガール,あんどろいどがーる
Urara Suteppu ♪,うららすてっぷ♪,うららすてっぷ
Ajisai,紫陽花,あじさい
Niji Shibou,"""二次死亡""",にじしぼう
Fianse,フィアンセ,ふぃあんせ
Kumo ni Nattara,雲になったら,くもになったら
Sutera,ステラ,すてら
Tsukiyo no Otome,月夜の乙女,つきよのおとめ
Taitoru,タイトル,たいとる
"""Sayonara"" no Tame no ""Arigatou""",「さよなら」のための「ありがとう」,さよならのためのありがとう
Medarisuto,メダリスト,めだりすと
Koi Monogatari,恋物語,こいものがたり
Abusoryuuto,アブソリュート,あぶそりゅーと
Chichibukuro -77296-,"乳袋'''"" -77296-",ちちぶくろ
Mirai,ミライ,みらい
Shinda Aidoru,死んだアイドル,しんだあいどる
Uwa no Sora,うわの空,うわのそら
Tadaima,ただいま,ただいま
Ichibanboshi,一番星,いちばんぼし
Umi no Mieru Ie,海の見える家,うみのみえるいえ
Tsuki no Shita,月の下,つきのした
Uragirimono-tachi yo,裏切者たちよ,うらぎりものたちよ
Okaasan Okaasan Okaasan,お母さんお母さんお母さん,おかあさんおかあさんおかあさん
Anheru,アンヘル,あんへる
Supesharu Gaaru,スペシャルガール,すぺしゃるがーる
Baguragu,バグラグ,ばぐらぐ
Amaoto Noise,雨音ノイズ,あまおとのいず
Karameru Sutaazu,カラメルスターズ,からめるすたーず
Sayonara Wandaa Noizu,さよならワンダーノイズ,さよならわんだーのいず
Toritsukarete,取り付かれて,とりつかれて
Jitaa Bagu,ジターバグ,じたーばぐ
Shiu,しう,しう
Mirai Jokyoku,未来序曲,みらいじょきょく
Ruma,ルマ,るま
"Nee, Dorodoro-san",ねぇ、どろどろさん,ねぇどろどろさん
Pokapoka no Hoshi,ぽかぽかの星,ぽかぽかのほし
Karaa Kopii,カラーコピー,からーこぴー
Supekutoramu,スペクトラム,すぺくとらむ
Ring no Serafu,,
Kyokou no Masukureido,虚構のマスカレイド ,きょこうのますかれいど
Shinde Shimatta no Darou ka,死んでしまったのだろうか,しんでしまったのだろうか
Haruka,はるか,はるか
Nijiiro Chouchou,虹色蝶々,にじいろちょうちょう
Rin Ren Raririn,リンレンラリリン,りんれんらりりん
Hangyaku,反逆,はんぎゃく
Puriti Panti ☆ Aku MaRin,プリティパンティ☆悪マリン,ぷりてぃぱんてぃあくまりん
Mata ne,またね,またね
Roodo Rooraa Robo no Teema,ロードローラー・ロボのテーマ,ろーどろーらーろぼのてーま
Awase Kagami,あわせ鏡,あわせかがみ
Renzoku ♪ Rinku ♪,レンゾク♪リンク♪,れんぞくりんく
Puriti Fundoshi ☆ Aku MaRen,プリティふんどし☆悪マレン,ぷりてぃふんどしあくまれん
Ryuukotsu no Fue no Shoujo,竜骨の笛の少女,りゅうこつのふえのしょうじょ
Hikari to Kage no Ryuu,光と影の竜,ひかりとかげのりゅう
Umi Wataru Kaze no Uta,海渡る風の唄,うみわたるかぜのうた
Taishou Romanchikku,大正ロマンチック,たいしょうろまんちっく
Shounen Ginga,少年銀河,しょうねんぎんが
Soratobazu,ソラトバズ,そらとばず
Otenba Hime no Uta ♪,おてんば姫の歌♪,おてんばひめのうた
Ame no Niwa,雨の庭,あめのにわ
Omedetou,オメデトウ,おめでとう
Finaare,フィナーレ,ふぃなーれ
Eba,エバ,えば
Ima Chotto Dake Wadai no Kamisama,"""今ちょっとだけ話題の神様""",いまちょっとだけわだいのかみさま
"Miru Koto ga Dekinai, Mitainai",見ることが出来ない、 見たいない,みることができないみたいない
Rasuto Rizooto,ラストリゾート,らすとりぞーと
Jehenna,ジェヘナ,じぇへな
Horon,ホロン,ほろん
Bokka dera Berita,ボッカデラベリタ,ぼっかでらべりた
Shinikaru Naito Puran,シニカルナイトプラン,しにかるないとぷらん
Saifai Ekusutashii,サイファイエクスタシー,さいふぁいえくすたしー
Rainboodaa,レインボーダー,れいんぼーだー
Cherushii,チェルシー,ちぇるしー
Mirion Daraa Doriimaa,ミリオンダラードリーマー,みりおんだらーどりーまー
Chokoreeto Torein,チョコレート・トレイン,ちょこれーととれいん
Furyouhin,不良品,ふりょうひん
Komori Uta,孤守唄,こもりうた
Majikku Ringu Naito,マジックリングナイト,まじっくりんぐないと
Yamitai Gaaru,ヤミタイガール,やみたいがーる
Hai to Kyoukai,灰と境界,はいときょうかい
Shuuchishin ni Korosareru,羞恥心に殺される,しゅうちしんにころされる
Tiadoroppusu,ティアドロップス,てぃあどろっぷす
Tsuki no Kodou,月の鼓動,つきのこどう
Mememememe,めめめめめ,めめめめめ
Ryuu no Ko,龍ノ子,りゅうのこ
Aijou Rettousei,アイ情劣等生,あいじょうれっとうせい
Gesellschaft,ゲゼルシャフト,げぜるしゃふと
Ragu Torein,ラグトレイン,らぐとれいん
Rosuto Anburera,ロストアンブレラ,ろすとあんぶれら
Aisarenakute mo Kimi ga Iru,愛されなくても君がいる,あいされなくてもきみがいる
Himitsu no Shougakusei,ひみつの小学生,ひみつのしょうがくせい
Kazemachigusa,カゼマチグサ,かぜまちぐさ
Anchisaikuron,アンチサイクロン,あんちさいくろん
Wasurenbou no Nekokaburi,忘れん坊の猫かぶり,わすれんぼうのねこかぶり
Nonyuusu,ノンユース,のんゆーす
Fuyuu Gekkougai,浮遊月光街,ふゆうげっこうがい
Sekai,セカイ,せかい
Utsushi Asobi,うつしあそび,うつしあそび
Tsukurikake no Shinshou,ツクリカケノ心象,つくりかけのしんしょう
Kounan Ame,江南雨,こうなんあめ
Pasukaru Biitsu,パスカルビーツ,ぱすかるびーつ
Namida Denpa,ナミダ電波,なみだでんぱ
Ruupu Supina,ループスピナ,るーぷすぴな
Kuuraa Gaaru,クーラーガール,くーらーがーる
Himitsu Ongaku,秘密音楽,ひみつおんがく
Sakasama Shoujokan,さかさま少女感,さかさましょうじょかん
Gubbai Sengen,グッバイ宣言,ぐっばいせんげん
Uzumaki Hanabi,渦巻ハナビ,うずまきはなび
Kurayami ni,暗闇に,くらやみに
Ai no Katamari,愛のかたまり,あいのかたまり
Saihate no Butoukai,最果ての舞踏会,さいはてのぶとうかい
Butai,舞台,ぶたい
Egoisuto,エゴイスト,えごいすと
Chichin Pui Pui,チチンプイプイ,ちちんぷいぷい
Bookaroido no Uta,ボーカロイドのうた,ぼーかろいどのうた
Mizuiro Shinryaku,水色侵略,みずいろしんりゃく
Hajimari no Medoree ~Puraimarii Karaazu~,はじまりのメドレー ープライマリーカラーズー,はじまりのめどれーーぷらいまりーからーずー
Sheema,シェーマ,しぇーま
Sekai wa Mada Hajimatte sura Inai,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない
Terekyasutaa Biibooi,テレキャスタービーボーイ,てれきゃすたーびーぼーい
Arisama,アリサマ,ありさま
Ego Rokku,エゴロック,えごろっく
Ankuroozu Hyuuman,アンクローズ・ヒューマン,あんくろーずひゅーまん
Hitori Yurari,ヒトリユラリ,ひとりゆらり
Waa Waa Waarudo,ワーワーワールド,わーわーわーるど
Heisei Sayonara Baibai,ヘイセイサヨナラバイバイ,へいせいさよならばいばい
Miruku Kuraun on Sonnechika,ミルククラウン・オン・ソーネチカ,みるくくらうんおんそーねちか
Sutera,ステラ,すてら
Ikasama Dansu,イカサマダンス,いかさまだんす
Marui Unabara,まるいうなばら,まるいうなばら
Andeddo Arisu,アンデッドアリス,あんでっどありす
Ponkotsu Za Waarudo,ポンコツザワールド,ぽんこつざわーるど
Setsuna no Uzu,刹那の渦,せつなのうず
Ano Natsu ga Houwa Suru.,あの夏が飽和する。,あのなつがほうわする
Nijiiro Sutooriizu,ニジイロストーリーズ,にじいろすとーりーず
Ravu Dauto Enputi Gaaru,ラヴダウト・エンプティガール,らゔだうとえんぷてぃがーる
Ravitto,ラヴィット,らゔぃっと
Karumia Douruzu,かるみあどーるず,かるみあどーるず
Kugutsu Asobi,クグツアソビ,くぐつあそび
ane mone guricchi,あねもねぐりっち,あねもねぐりっち
Goo Mai Wei!,ごーまいうぇい!,ごーまいうぇい
Varukiria no Houkou,ヴァルキリアの咆哮,ゔぁるきりあのほうこう
Yuuyami Sagashi,ゆう闇さがし,ゆうやみさがし
Sedamu,セダム,せだむ
Envii Beibii,エンヴィーベイビー,えんゔぃーべいびー
Hanii to no Deeto ,ハニーとのデート,はにーとのでーと
Shuredingaigaa no Koneko,シュレディンガイガーのこねこ,しゅれでぃんがいがーのこねこ
Nigechimaou ze,逃げちまおうぜ,にげちまおうぜ
Vanpaia,ヴァンパイア,ゔぁんぱいあ
Paraiso Paraiso,パライソ・パライソ,ぱらいそぱらいそ
Donaa Songu,ドナーソング,どなーそんぐ
Hibi ni Kieru,日々に消える,ひびにきえる
Romaji: Reijinesuman,レイジネスマン,れいじねすまん
Separeito,セパレイト,せぱれいと
Majikaru Dokuta,マジカルドクター,まじかるどくたー
Shinema,シネマ,しねま
Ginga Dentou,銀河電燈,ぎんがでんとう
Futekisetsu Shukujo,不適切淑女,ふてきせつしゅくじょ
Non Buresu Oburiiju,ノンブレス・オブリージュ,のんぶれすおぶりーじゅ
Angurei Deizu,アングレイデイズ,あんぐれいでいず
Tondemo Wandaazu,トンデモワンダーズ,とんでもわんだーず
Mao,マオ,まお
Attouteki Zetsubou-chan,圧倒的絶望ちゃん,あっとうてきぜつぼうちゃん
,リグレットメッセージ,りぐれっとめっせーじ
,リンリンシグナル,りんりんしぐなる
,ミラクルペイント,みらくるぺいんと
,1925,
,アブストラクト・ナンセンス,あぶすとらくとなんせんす
,サイバーサンダーサイダー,さいばーさんだーさいだー
,ピアノ×フォルテ×スキャンダル,ぴあのふぉるてすきゃんだる
,インビジブル,いんびじぶる
,トゥインクル,とぅいんくる
,パンプキン・シンドローム,ぱんぷきんしんどろーむ
,ディスコティック★ラヴ,でぃすこてぃっくらゔ
,エンクロージャー,えんくろーじゃー
,タイガーランペイジ,たいがーらんぺいじ
,リミッター,りみったー
,クローバー,くろーばー
,アンリアル・コミュニケーション,あんりあるこみゅにけーしょん
,ハローアゲイン,はろーあげいん
,トゥルリラタリラトゥルラ,とぅるりらたりらとぅるら
,ロッテンガールグロテスクロマンス,ろってんがーるぐろてすくろまんす
,ボーナスステージ,ぼーなすすてーじ
,テレパシズム,てれぱしずむ
,ベイビーユー,べいびーゆー
,'コスメティックラブ!!,こすめてぃっくらぶ
